group,plate,serum,virus,replicate,ic50,ic50_bound,midpoint,midpoint_bound,midpoint_bound_type,slope,top,bottom,r2,rmsd
human,plate12,seqneut25to26_sera_0036,A/Alagoas/4130/2025_H3N2,plate12-A/Alagoas/4130/2025_H3N2,0.004715,interpolated,0.004968,0.004968,interpolated,2.52,0.9383,0,0.9711,0.06135
human,plate12,seqneut25to26_sera_0036,A/Anapolis/LEIAL6543/2025_H3N2,plate12-A/Anapolis/LEIAL6543/2025_H3N2,0.008451,interpolated,0.008929,0.008929,interpolated,2.056,0.9465,0,0.8935,0.09993
human,plate12,seqneut25to26_sera_0036,A/Andalucia/PMC-00977/2025_H1N1,plate12-A/Andalucia/PMC-00977/2025_H1N1,0.001637,interpolated,0.001637,0.001637,interpolated,2.167,0.9997,0,0.9955,0.02912
human,plate12,seqneut25to26_sera_0036,A/Aragon/2046/2025_H1N1,plate12-A/Aragon/2046/2025_H1N1,0.003251,interpolated,0.003269,0.003269,interpolated,4.51,0.9878,0,0.9987,0.01587
human,plate12,seqneut25to26_sera_0036,A/Arica/59150/2025_H3N2,plate12-A/Arica/59150/2025_H3N2,0.005874,interpolated,0.006661,0.006661,interpolated,1.807,0.8984,0,0.9249,0.08331
human,plate12,seqneut25to26_sera_0036,A/Bahia/3102/2025_H3N2,plate12-A/Bahia/3102/2025_H3N2,0.006226,interpolated,0.006809,0.006809,interpolated,1.34,0.9435,0,0.9071,0.09343
human,plate12,seqneut25to26_sera_0036,A/Bangkok/1803/2025_H1N1,plate12-A/Bangkok/1803/2025_H1N1,0.005104,interpolated,0.005125,0.005125,interpolated,3.505,0.993,0,0.9984,0.01629
human,plate12,seqneut25to26_sera_0036,A/Bangkok/P2229/2025_H1N1,plate12-A/Bangkok/P2229/2025_H1N1,0.001065,interpolated,0.001066,0.001066,interpolated,2.477,0.9987,0,0.9978,0.02048
human,plate12,seqneut25to26_sera_0036,A/Bangkok/P2323/2025_H3N2,plate12-A/Bangkok/P2323/2025_H3N2,0.008675,interpolated,0.009004,0.009004,interpolated,1.296,0.9765,0,0.9577,0.05599
human,plate12,seqneut25to26_sera_0036,A/Bangkok/P2390/2025_H3N2,plate12-A/Bangkok/P2390/2025_H3N2,0.007598,interpolated,0.007815,0.007815,interpolated,2.783,0.9623,0,0.9874,0.03734
